Month,Day,Time,State,F Scale,Injuries,Fatalities,PropLoss,Length,Width,NumberStates,F0
1,21,15:09:00,SC,1,0,0,0,5.47,400,1,No
1,21,16:18:00,TX,2,0,0,1000000,6.93,230,1,No
1,21,16:19:00,TX,1,0,0,250000,0.81,100,1,No
1,21,16:50:00,TX,2,1,0,900000,13.36,800,2,No
1,21,16:50:00,TX,2,1,0,825000,10.99,800,2,No
1,21,17:23:00,LA,2,0,0,75000,2.37,400,2,No
1,21,17:12:00,LA,2,1,0,825000,10.79,990,1,No
1,21,17:55:00,LA,1,0,0,10000,3.5,350,1,No
1,21,17:56:00,LA,2,1,0,500000,2.04,300,1,No
1,21,19:00:00,LA,1,1,0,250000,2.23,150,1,No
1,21,19:04:00,AR,1,0,0,10000,2.89,75,1,No
1,21,19:38:00,AR,0,0,0,25000,0.61,50,1,Yes
1,21,19:51:00,LA,0,0,0,25000,1.24,150,1,Yes
1,21,20:29:00,LA,0,0,0,90000,0.16,100,1,Yes
1,21,20:45:00,AR,0,0,0,3000,0.67,50,1,Yes
1,21,20:48:00,LA,0,0,0,10000,0.62,50,1,Yes
1,21,21:04:00,LA,1,0,0,145000,8.87,300,1,No
1,21,22:44:00,MS,2,1,0,175000,7.28,550,1,No
1,22,1:56:00,GA,2,3,0,270000,18.67,700,1,No
1,22,2:29:00,GA,3,45,11,2500000,24.66,700,1,No
1,22,3:25:00,GA,1,0,0,0,0.59,250,1,No
1,22,3:47:00,GA,1,0,0,0,3.11,1200,1,No
1,22,4:52:00,GA,1,0,0,0,11.12,1900,1,No
1,22,6:00:00,GA,1,0,0,250000,4.84,400,1,No
1,22,12:36:00,AL,0,0,0,0,0.28,200,1,Yes
1,22,13:02:00,AL,1,0,0,100000,5.52,100,1,No
1,22,13:06:00,AL,1,0,0,0,1.98,320,1,No
1,22,13:38:00,GA,2,1,0,650000,12.03,400,1,No
1,22,13:46:00,AL,0,0,0,0,4.76,200,1,Yes
1,22,13:50:00,FL,1,0,0,0,2.36,350,1,No
1,22,14:00:00,AL,1,0,0,0,3.08,540,1,No
1,22,14:15:00,GA,3,88,5,310300000,70.4,2200,1,No
1,22,14:52:00,GA,1,0,0,20000,6.93,300,1,No
1,22,15:00:00,GA,1,0,0,10000,0.29,900,1,No
1,22,15:15:00,GA,1,0,0,20000,2.24,100,1,No
1,22,15:22:00,GA,0,0,0,10000,0.56,50,1,Yes
1,22,15:47:00,GA,1,0,0,0,3.11,1200,1,No
1,22,17:26:00,GA,1,0,0,0,16.64,120,1,No
1,22,17:29:00,GA,1,0,0,0,1.65,120,1,No
1,23,0:25:00,FL,1,0,0,0,3.22,90,1,No
1,23,0:40:00,FL,1,0,0,1000000,5.79,130,1,No
1,23,2:45:00,FL,1,0,0,0,2.79,123,1,No
2,7,9:16:00,TN,0,0,0,15000,0.5,50,1,Yes
2,7,10:20:00,LA,2,3,0,0,23.08,500,1,No
2,7,10:51:00,LA,0,0,0,0,0.95,25,1,Yes
2,7,11:04:00,LA,1,0,1,0,6.13,75,1,No
2,7,11:12:00,LA,3,33,0,0,10.09,600,1,No
2,7,11:50:00,LA,3,3,0,0,6.43,350,1,No
2,7,12:20:00,LA,1,0,0,0,0.26,50,1,No
2,7,13:42:00,AL,0,0,0,0,0.2,85,1,Yes
2,7,15:23:00,AL,0,1,0,100000,0.51,150,1,Yes
2,7,15:36:00,GA,1,0,0,150000,2.31,250,1,No
2,7,16:07:00,MS,2,0,0,350000,4.83,880,1,No
2,7,17:23:00,MS,1,0,0,100000,3.09,50,1,No
2,7,19:40:00,KY,0,0,0,25000,1.84,50,1,Yes
2,7,21:00:00,FL,1,0,0,0,1.06,75,1,No
2,7,21:37:00,FL,1,0,0,0,0.53,160,1,No
2,9,2:51:00,GA,2,7,0,0,9.81,300,1,No
2,14,7:40:00,TX,0,0,0,10000,1,200,1,Yes
2,14,8:15:00,TX,1,6,0,900000,1.72,300,1,No
