Month,Day,Time,State,f scale,Injuries,Fatalities,Prop loss,Length,Width,Number,F0,ln(length),,,,,,,,
1,2,1 9:00:00,AL,0,0,0,0,0.83,150,1,Yes,-0.186329578,,,,,,,,
1,2,1 9:08:00,AL,0,0,0,0,0.12,50,1,Yes,-2.120263536,,,,,,,,
1,2,1 9:19:00,AL,1,0,0,0,0.92,300,1,No,-0.083381609,,,,,,,,
1,2,1 9:33:00,GA,1,0,0,75000,10.84,400,1,No,2.383242996,,,,,,,,
1,2,1 10:06:0,0 G,A,0,0,10000,1.92,100,1,Yes,0.652325186,,,,,,,,
1,2,1 10:14:0,0 G,A,1,0,65000,9.52,300,1,No,2.253394849,,,,,,,,
1,2,1 10:18:0,0 G,A,1,0,100000,12.25,400,1,No,2.505525937,,,,,,,,
1,2,1 10:22:0,0 G,A,2,0,300000,5.68,300,1,No,1.736951233,,,,,,,,
1,2,1 10:25:0,0 G,A,1,0,75000,5.26,200,1,No,1.660131027,,,,,,,,
1,2,1 10:32:0,0 G,A,0,0,20000,0.78,100,1,Yes,-0.248461359,,,,,,,,
1,2,1 10:39:0,0 G,A,1,0,20000,1.87,175,1,No,0.625938431,,,,,,,,
1,2,1 10:59:0,0 G,A,1,0,30000,8.92,100,1,No,2.188295947,,,,,,,,
1,2,1 11:08:0,0 G,A,0,0,15000,8.84,250,1,Yes,2.179286877,,,,,,,,
1,2,1 11:11:0,0 G,A,2,0,295000,12.85,350,1,No,2.553343811,,,,,,,,
1,2,1 11:46:0,0 G,A,0,0,50000,4.23,100,1,Yes,1.442201993,,,,,,,,
1,2,1 11:50:0,0 G,A,1,0,30000,4.32,100,1,No,1.463255402,,,,,,,,
1,2,1 11:54:0,0 G,A,1,0,10000,5.84,100,1,No,1.764730797,,,,,,,,
1,2,1 12:10:0,0 G,A,0,0,25000,0.57,50,1,Yes,-0.562118918,,,,,,,,
1,2,1 12:20:0,0 G,A,0,0,12000,2.18,85,1,Yes,0.779324877,,,,,,,,
1,2,1 12:28:0,0 G,A,1,0,10000,0.53,70,1,No,-0.634878272,,,,,,,,
1,2,1 12:39:0,0 G,A,0,0,10000,6.39,100,1,Yes,1.854734268,,,,,,,,
