Player,EV (MPH),Dist (ft)
David Dahl,98.5,392
Trevor Story,102.5,392
David Dahl,103.1,392
Nolan Arenado,98.5,392
Christian Walker,109.3,391
Donovan Solano,97.1,391
Jose Osuna,96.9,391
Trevor Story,96.2,390
Ryan McMahon,93.6,390
David Dahl,96.1,390
Trevor Story,96.1,388
Ryan McMahon,105.3,387
Jeff McNeil,98.7,387
J.T. Realmuto,104.6,387
Justin Turner,98.7,386
Hernan Perez,98.6,386
Max Muncy,102,386
Josh Fuentes,97.2,385
Sam Hilliard,97.2,385
Kristopher Negron,98.1,384
Jason Heyward,94,383
Alex Verdugo,96,383
Raimel Tapia,93.8,383
Alex Verdugo,99.5,383
Manny Machado,97.4,381
Charlie Blackmon,101.3,381
Kyle Schwarber,105.2,380
Jake Lamb,97.7,379
Sam Hilliard,96.2,379
Christian Walker,96.5,378
Hunter Renfroe,101.5,377
Alex Bregman,101.5,376
Garrett Cooper,113.5,376
Raimel Tapia,100.2,376
Chris Iannetta,100.6,375
Trevor Story,104.4,375
Trevor Story,98.1,374
Daniel Murphy,96.3,373
Eugenio Suarez,102.3,372
Ryan McMahon,98.2,372
Manny Machado,99.7,372
Eduardo Escobar,96.9,371
Mac Williamson,98.8,371
Nolan Arenado,91.5,371
Manny Machado,95,368
Ryan McMahon,96.7,367
Derek Dietrich,96.3,367
Brandon Crawford,95.6,366
Chris Iannetta,94.1,366
Christian Vazquez,92.3,366
Wilmer Flores,99.6,365
Brandon Nimmo,95.5,363
AJ Pollock,100.4,363
Daniel Murphy,93.4,357
Ian Desmond,93.6,297
