Rk.,Player,Result,Game Date,EV (MPH),LA (Â°),Pitch (MPH),Dist (ft),Vs.,var10
1793,Stevie Wilkerson,home_run,2019,97.4,28,94.1,416,TB,Graphs
1794,Pete Alonso,home_run,2019,106.3,30,81.5,416,PIT,Graphs
1795,Ryan McMahon,home_run,2019,103.8,23,84.6,416,PHI,Graphs
1796,Ozzie Albies,home_run,2019,103.1,33,93.8,416,PHI,Graphs
1797,Matt Olson,home_run,2019,109.9,21,94,416,HOU,Graphs
1798,Adam Jones,home_run,2019,104.6,21,90,416,LAD,Graphs
1799,Travis d'Arnaud,home_run,2019,103.9,21,87,416,CLE,Graphs
1800,Christian Walker,home_run,2019,106.9,30,91,416,ATL,Graphs
1801,Josh Naylor,home_run,2019,104.7,28,86.4,416,COL,Graphs
1802,Shohei Ohtani,home_run,2019,107.6,21,82,416,LAD,Graphs
1803,Adam Jones,home_run,2019,104.6,24,87.2,416,SF,Graphs
1804,Taylor Davis,home_run,2019,103.9,27,89.8,416,STL,Graphs
1805,Renato Nunez,home_run,2019,104.9,33,92.2,416,SF,Graphs
1806,Enrique Hernandez,home_run,2019,108.3,23,92.3,416,SF,Graphs
1807,Nolan Arenado,home_run,2019,98.1,31,93.7,416,STL,Graphs
1808,Cody Bellinger,home_run,2019,104.8,23,91,416,SF,Graphs
1809,LaMonte Wade Jr,home_run,2019,102.7,30,94.8,416,KC,Graphs
1810,Carson Kelly,home_run,2019,105.2,22,94.1,416,SF,Graphs
1811,Josh Bell,home_run,2019,105.9,29,84.3,416,SF,Graphs
1812,Eduardo Escobar,home_run,2019,99.4,25,85.8,416,COL,Graphs
1813,Alex Gordon,home_run,2019,105.2,33,93.4,416,TB,Graphs
1814,J.D. Martinez,home_run,2019,106.9,24,92.5,416,BAL,Graphs
1815,Mike Trout,home_run,2019,114.4,18,89.8,416,SEA,Graphs
1816,Robel Garcia,home_run,2019,104.2,26,93.9,416,PIT,Graphs
1817,Christian Walker,home_run,2019,108.3,22,91.7,416,PIT,Graphs
1818,Freddy Galvis,home_run,2019,100.6,32,86.5,416,KC,Graphs
1819,Corey Seager,home_run,2019,102.7,25,89.2,416,MIA,Graphs
1820,Marcus Semien,home_run,2019,103.6,27,92.4,416,MIN,Graphs
1821,Kyle Higashioka,home_run,2019,103,25,76.9,416,BAL,Graphs
1822,Hunter Dozier,home_run,2019,105.8,28,93.5,416,CWS,Graphs
1823,Asdrubal Cabrera,home_run,2019,99.3,29,91.1,416,PIT,Graphs
1824,Anthony Rendon,home_run,2019,103.5,24,82.9,416,ARI,Graphs
1825,Eloy Jimenez,home_run,2019,103.5,31,93.5,416,MIN,Graphs
1826,Jonathan Villar,home_run,2019,109.6,23,81.8,416,TB,Graphs
1827,Jose Ramirez,home_run,2019,103.5,28,92.7,416,CWS,Graphs
1828,Shin-Soo Choo,home_run,2019,106.8,35,77.9,416,LAA,Graphs
1829,Enrique Hernandez,home_run,2019,105.5,23,92,416,SF,Graphs
1830,Aaron Hicks,home_run,2019,104.4,30,86.3,416,TB,Graphs
1831,Stephen Vogt,home_run,2019,106.6,32,83.7,416,CHC,Graphs
1832,Joey Votto,home_run,2019,105,25,87.2,416,CHC,Graphs
1833,Chris Taylor,home_run,2019,104.7,21,86,416,SF,Graphs
1834,Yasiel Puig,home_run,2019,109.1,27,85.9,416,CHC,Graphs
1835,Miguel Sano,home_run,2019,105.7,28,96.7,416,CWS,Graphs
1836,Mark Canha,home_run,2019,108.1,27,86.2,416,SEA,Graphs
1837,Jackie Bradley Jr.,home_run,2019,103.3,24,82.4,416,TEX,Graphs
1838,Eduardo Escobar,home_run,2019,103.3,32,87.2,416,TEX,Graphs
1839,Starlin Castro,home_run,2019,103.8,34,84.8,416,WSH,Graphs
1840,Tim Beckham,home_run,2019,105.2,23,84.1,416,TEX,Graphs
1841,Ketel Marte,home_run,2019,106.3,21,91,416,WSH,Graphs
1842,Edwin Encarnacion,home_run,2019,103.8,29,88.2,416,CLE,Graphs
1843,Jose Abreu,home_run,2019,106,30,95.4,416,HOU,Graphs
1844,Kolten Wong,home_run,2019,103.5,23,84.9,416,ATL,Graphs
1845,Kevin Kiermaier,home_run,2019,102.1,27,81.2,416,OAK,Graphs
1846,Cesar Puello,home_run,2019,110.4,27,89.9,416,OAK,Graphs
1847,Gio Urshela,home_run,2019,103,27,93.7,416,MIN,Graphs
1848,Tyler Flowers,home_run,2019,108.5,20,93.5,416,CIN,Graphs
1849,Eric Hosmer,home_run,2019,107.6,22,83.9,416,ATL,Graphs
1850,Bryce Harper,home_run,2019,112.3,37,90.3,416,ATL,Graphs
1851,Jordy Mercer,home_run,2019,105.9,24,92.9,416,MIN,Graphs
1852,Domingo Santana,home_run,2019,103.5,30,86.6,416,LAA,Graphs
1853,Paul Goldschmidt,home_run,2019,105.1,33,87.8,416,ARI,Graphs
1854,Paul DeJong,home_run,2019,100.5,29,88.3,416,CHC,Graphs
1855,Evan Longoria,home_run,2019,104.2,34,94.7,416,CIN,Graphs
1856,Jake Cave,home_run,2019,102.6,28,84.1,416,CWS,Graphs
1857,Kristopher Negron,home_run,2019,99.4,28,87,416,COL,Graphs
1858,Nate Lowe,home_run,2019,107.8,23,93.6,416,BAL,Graphs
1859,Dansby Swanson,home_run,2019,103.7,27,92.5,416,DET,Graphs
1860,Jason Kipnis,home_run,2019,101.7,33,86.3,416,NYM,Graphs
1861,Christin Stewart,home_run,2019,104.3,26,93.9,416,CLE,Graphs
1862,Charlie Blackmon,home_run,2019,103.7,29,73.1,416,PHI,Graphs
1863,Jackie Bradley Jr.,home_run,2019,108,33,91.2,416,BAL,Graphs
1864,Hanley Ramirez,home_run,2019,113.8,29,90.3,416,MIN,Graphs
1865,Eric Thames,home_run,2019,105.8,32,94.4,416,CHC,Graphs
1866,Cameron Maybin,home_run,2019,107.4,32,94.5,416,LAA,Graphs
1867,Nick Castellanos,home_run,2019,102.9,30,80.8,416,ATL,Graphs
1868,Tyler Naquin,home_run,2019,105.9,25,88.4,416,TEX,Graphs
1869,Ryan O'Hearn,home_run,2019,102.3,36,85.3,416,OAK,Graphs
1870,Matt Olson,home_run,2019,107.6,31,85.8,416,NYY,Graphs
1871,Corey Seager,home_run,2019,101.8,26,93.4,416,NYM,Graphs
1872,Maikel Franco,home_run,2019,102.6,31,93.4,416,WSH,Graphs
1873,Francisco Lindor,home_run,2019,108.8,31,94.2,416,OAK,Graphs
1874,Pete Alonso,home_run,2019,108.1,31,91.7,416,WSH,Graphs
1875,Freddy Galvis,home_run,2019,100.6,24,98.2,416,TB,Graphs
1876,J.D. Davis,home_run,2019,106.5,22,96.2,416,NYY,Graphs
1877,Jaylin Davis,home_run,2019,104.2,28,83.6,416,COL,Graphs
1878,Rafael Ortega,home_run,2019,105.5,29,98.2,416,NYM,Graphs
1879,Manny Pina,home_run,2019,100.9,30,86.6,416,ATL,Graphs
1880,Roberto Perez,home_run,2019,108.4,21,90.6,416,LAA,Graphs
1881,Hunter Renfroe,home_run,2019,103.8,26,82.3,416,TOR,Graphs
1882,Nick Ahmed,home_run,2019,104.7,29,94.4,416,WSH,Graphs
1883,Beau Taylor,home_run,2019,102.8,29,93.2,416,BAL,Graphs
1884,Rougned Odor,home_run,2019,103.6,28,94.9,416,BAL,Graphs
1885,Kyle Seager,home_run,2019,105.2,25,87.4,416,DET,Graphs
1886,Edwin Encarnacion,home_run,2019,100.7,27,80.4,416,MIN,Graphs
1887,Adalberto Mondesi,home_run,2019,103.9,25,92.6,416,MIN,Graphs
1888,Eugenio Suarez,home_run,2019,103.2,24,94.9,416,CHC,Graphs
1889,Johan Camargo,home_run,2019,105.4,31,90.3,416,ARI,Graphs
1890,Albert Pujols,home_run,2019,106.1,22,94.1,416,TEX,Graphs
1891,Dwight Smith,home_run,2019,105.5,24,87.1,416,LAA,Graphs
1892,Nolan Arenado,home_run,2019,100.5,25,91.4,416,MIA,Graphs
1893,Jason Kipnis,home_run,2019,100.2,26,94.5,416,LAA,Graphs
1894,Zack Collins,home_run,2019,102.6,29,91.1,416,MIN,Graphs
1895,Ian Desmond,home_run,2019,103.3,29,95,416,ARI,Graphs
1896,Joc Pederson,home_run,2019,103.3,26,77.1,416,COL,Graphs
1897,Nick Ahmed,home_run,2019,102,30,72.1,416,MIA,Graphs
1898,Kris Bryant,home_run,2019,110.2,26,91.5,416,MIA,Graphs
1899,Shin-Soo Choo,home_run,2019,106.8,26,86,416,HOU,Graphs
1900,Colin Moran,home_run,2019,102.9,31,94.4,415,TEX,Graphs
1901,Michael Brantley,home_run,2019,101.6,25,86.3,415,STL,Graphs
1902,Max Muncy,home_run,2019,108.1,35,83.7,415,ATL,Graphs
1903,Justin Turner,home_run,2019,104.2,30,96.9,415,ATL,Graphs
1904,Ramon Laureano,home_run,2019,101.8,26,92.4,415,SEA,Graphs
1905,J.T. Realmuto,home_run,2019,109.8,23,95.7,415,SD,Graphs
1906,Trea Turner,home_run,2019,108.2,30,89.5,415,SF,Graphs
1907,Bryan Reynolds,home_run,2019,103.2,24,89.9,415,SD,Graphs
1908,Adam Eaton,home_run,2019,101.8,30,90.2,415,MIL,Graphs
1909,Byron Buxton,home_run,2019,104,25,91.7,415,SEA,Graphs
1910,Max Muncy,home_run,2019,103.9,41,76.3,415,COL,Graphs
1911,Ozzie Albies,home_run,2019,103.5,32,95.2,415,ARI,Graphs
1912,J.D. Martinez,home_run,2019,103.5,27,92.3,415,TB,Graphs
1913,Pablo Sandoval,home_run,2019,102.4,24,92,415,ARI,Graphs
1914,Anthony Santander,home_run,2019,106.1,19,89,415,KC,Graphs
1915,Adam Engel,home_run,2019,102.7,27,85.1,415,SEA,Graphs
1916,Brian Anderson,home_run,2019,106.9,25,89.7,415,ARI,Graphs
1917,Albert Pujols,home_run,2019,107.2,26,91.8,415,DET,Graphs
1918,Christian Yelich,home_run,2019,102.4,30,82.7,415,CHC,Graphs
1919,Jonathan Schoop,home_run,2019,107.5,34,78.5,415,TB,Graphs
1920,Evan Longoria,home_run,2019,105.5,33,92.2,415,CHC,Graphs
1921,C.J. Cron,home_run,2019,108.3,31,84.3,415,SEA,Graphs
1922,Freddie Freeman,home_run,2019,106.3,27,93,415,PIT,Graphs
1923,Renato Nunez,home_run,2019,104.7,34,79.3,415,BOS,Graphs
1924,Matt Chapman,home_run,2019,103.8,32,75.1,415,STL,Graphs
1925,Shin-Soo Choo,home_run,2019,108.8,22,92.1,415,CIN,Graphs
1926,Yasiel Puig,home_run,2019,104.3,24,86.6,415,TEX,Graphs
1927,Tim Federowicz,home_run,2019,100.3,26,90.3,415,CWS,Graphs
1928,Matt Chapman,home_run,2019,105.1,25,88.9,415,SEA,Graphs
1929,Edwin Encarnacion,home_run,2019,105.8,23,92,415,KC,Graphs
1930,Daniel Vogelbach,home_run,2019,112.2,19,95.4,415,TEX,Graphs
1931,Reese McGuire,home_run,2019,101.3,24,85.4,415,BOS,Graphs
1932,Gleyber Torres,home_run,2019,100.2,27,81.2,415,BAL,Graphs
1933,Miguel Sano,home_run,2019,106.9,37,90,415,MIL,Graphs
1934,Nate Lowe,home_run,2019,105.5,22,78.9,415,NYY,Graphs
1935,Anthony Santander,home_run,2019,102.5,25,93.1,415,BOS,Graphs
1936,Kyle Schwarber,home_run,2019,108.7,32,94.9,415,WSH,Graphs
1937,Brian Goodwin,home_run,2019,101,26,84.4,415,SEA,Graphs
1938,Gio Urshela,home_run,2019,107.2,23,93.5,415,TOR,Graphs
1939,Wil Myers,home_run,2019,103.8,31,78.6,415,SF,Graphs
1940,Jonathan Villar,home_run,2019,104.5,23,87,415,OAK,Graphs
1941,Anthony Santander,home_run,2019,107.7,26,86,415,ARI,Graphs
1942,Blake Swihart,home_run,2019,102.5,27,76.4,415,OAK,Graphs
1943,Scott Kingery,home_run,2019,103.4,30,90.6,415,LAD,Graphs
1944,Mike Ford,home_run,2019,102.1,28,93.8,415,TOR,Graphs
1945,Jung Ho Kang,home_run,2019,105.2,32,83.7,415,HOU,Graphs
1946,Keston Hiura,home_run,2019,104.5,27,90.6,415,CIN,Graphs
1947,Justin Smoak,home_run,2019,104.6,32,86.3,415,SD,Graphs
1948,J.T. Realmuto,home_run,2019,100.2,26,91.8,415,NYM,Graphs
1949,Adeiny Hechavarria,home_run,2019,101.4,31,79.6,415,NYM,Graphs
1950,Rhys Hoskins,home_run,2019,103,35,92.7,415,STL,Graphs
1951,Jeff McNeil,home_run,2019,102.5,29,92.4,415,WSH,Graphs
1952,Manny Machado,home_run,2019,106.6,19,96.2,415,ATL,Graphs
1953,Freddie Freeman,home_run,2019,104.3,29,82.1,415,MIN,Graphs
1954,Marcus Semien,home_run,2019,105.6,30,93.9,415,KC,Graphs
1955,Yordan Alvarez,home_run,2019,113.5,36,91.5,415,OAK,Graphs
1956,Jesse Winker,home_run,2019,104.5,27,95.8,415,NYM,Graphs
1957,Trevor Story,home_run,2019,102.1,30,96.2,415,SD,Graphs
1958,Jay Bruce,home_run,2019,109.2,30,91.2,415,CWS,Graphs
1959,Corey Seager,home_run,2019,101.1,34,84.4,415,SF,Graphs
1960,Francisco Lindor,home_run,2019,105.7,31,76.1,415,MIN,Graphs
1961,Jason Castro,home_run,2019,103,30,80,415,KC,Graphs
1962,Albert Almora Jr.,home_run,2019,102.7,28,94.6,415,CIN,Graphs
1963,Edwin Rios,home_run,2019,102.6,22,91,415,MIA,Graphs
1964,Kyle Seager,home_run,2019,103,28,89.7,415,LAA,Graphs
1965,Billy McKinney,home_run,2019,107.1,20,89.2,415,NYY,Graphs
1966,Mike Moustakas,home_run,2019,109.1,20,93.5,415,STL,Graphs
1967,Evan Longoria,home_run,2019,102.8,32,94.7,415,COL,Graphs
1968,Danny Santana,home_run,2019,106.7,23,91,415,MIN,Graphs
1969,Matt Chapman,home_run,2019,106.4,23,96.2,415,TEX,Graphs
1970,Ronald Guzman,home_run,2019,109.3,33,94,415,HOU,Graphs
1971,Clint Frazier,home_run,2019,103.2,33,86.8,415,SD,Graphs
1972,Gio Urshela,home_run,2019,100.5,28,86.5,415,TOR,Graphs
1973,Maikel Franco,home_run,2019,111.6,23,94,415,ATL,Graphs
1974,Cody Bellinger,home_run,2019,104.5,29,83.6,415,ARI,Graphs
1975,Eduardo Escobar,home_run,2019,103.2,32,68.8,415,WSH,Graphs
1976,Juan Soto,home_run,2019,104.8,31,89.9,415,NYM,Graphs
1977,Tim Beckham,home_run,2019,102.3,27,78.4,415,DET,Graphs
1978,Hunter Dozier,home_run,2019,102.4,35,85.8,415,OAK,Graphs
1979,Jose Abreu,home_run,2019,104.6,23,87.7,415,LAA,Graphs
1980,Garrett Cooper,home_run,2019,108,26,82.7,415,SD,Graphs
1981,Ryan Braun,home_run,2019,105.9,25,84.8,415,CIN,Graphs
1982,Miguel Sano,home_run,2019,104.8,23,82.6,415,CLE,Graphs
1983,Max Muncy,home_run,2019,102.8,26,88.7,415,BOS,Graphs
1984,Andrew Benintendi,home_run,2019,102.8,35,81.9,415,NYY,Graphs
1985,Jason Heyward,home_run,2019,104,22,91.7,415,MIL,Graphs
1986,Freddy Galvis,home_run,2019,103.4,30,79.3,415,KC,Graphs
1987,Mark Canha,home_run,2019,106,31,89.5,415,LAA,Graphs
1988,Fernando Tatis Jr.,home_run,2019,104.3,23,93.2,415,LAD,Graphs
1989,Eugenio Suarez,home_run,2019,103.2,26,88.2,415,OAK,Graphs
1990,Michael Brantley,home_run,2019,101.4,32,92.3,415,LAA,Graphs
1991,Jorge Soler,home_run,2019,105.1,24,92.3,415,DET,Graphs
1992,Nelson Cruz,home_run,2019,107.7,28,98.2,415,BAL,Graphs
1993,Pete Alonso,home_run,2019,106.1,33,92.8,415,ATL,Graphs
1994,Curtis Granderson,home_run,2019,105.2,34,88.9,415,NYM,Graphs
1995,J.T. Realmuto,home_run,2019,105.8,24,96.3,415,ATL,Graphs
1996,Hunter Pence,home_run,2019,105.3,34,79.4,415,PIT,Graphs
1997,Jeff McNeil,home_run,2019,104.9,31,95.1,415,PIT,Graphs
1998,Lourdes Gurriel Jr.,home_run,2019,107,23,94.5,415,NYY,Graphs
1999,Paul Goldschmidt,home_run,2019,105.8,27,85.4,415,MIL,Graphs
2000,Avisail Garcia,home_run,2019,104.3,29,72.8,415,ARI,Graphs
2001,Manny Pina,home_run,2019,102.7,26,93.6,415,PIT,Graphs
2002,Manuel Margot,home_run,2019,102,30,95.9,415,COL,Graphs
2003,Jonathan Villar,home_run,2019,106.6,34,89.8,415,NYY,Graphs
2004,Matt Olson,home_run,2019,105,23,89.4,415,LAA,Graphs
2005,Michael Conforto,home_run,2019,108.9,31,91.9,415,CIN,Graphs
2006,Kevin Kiermaier,home_run,2019,103.1,27,93.7,415,MIN,Graphs
2007,Miguel Rojas,home_run,2019,103.3,23,100.4,415,PIT,Graphs
2008,Eddie Rosario,home_run,2019,104.3,30,90.4,415,BAL,Graphs
2009,Tucker Barnhart,home_run,2019,101,27,85.1,415,ATL,Graphs
2010,Ronald Acuna Jr.,home_run,2019,108.7,27,91.4,415,MIA,Graphs
2011,Russell Martin,home_run,2019,100.8,30,86.5,415,CIN,Graphs
2012,Pedro Severino,home_run,2019,102.4,29,89,414,TEX,Graphs
2013,Jonathan Lucroy,home_run,2019,104.3,23,90.2,414,TEX,Graphs
2014,Xander Bogaerts,home_run,2019,109.1,20,92.3,414,CWS,Graphs
2015,Anthony Rendon,home_run,2019,103.7,32,84.3,414,ARI,Graphs
2016,Mitch Garver,home_run,2019,104.7,22,92.3,414,NYM,Graphs
2017,Pat Valaika,home_run,2019,101.1,34,78.8,414,LAD,Graphs
2018,Sean Rodriguez,home_run,2019,105,33,77.7,414,ATL,Graphs
2019,Andrew Knizner,home_run,2019,103.4,27,91.1,414,PIT,Graphs
2020,Aaron Judge,home_run,2019,108.9,20,80.8,414,LAD,Graphs
2021,Mike Moustakas,home_run,2019,106.1,26,88.4,414,NYM,Graphs
2022,Corey Seager,home_run,2019,102.9,26,91.8,414,ARI,Graphs
2023,J.D. Martinez,home_run,2019,108.3,25,84.4,414,BAL,Graphs
2024,Ehire Adrianza,home_run,2019,102.2,28,89.1,414,SEA,Graphs
2025,Miguel Sano,home_run,2019,109,24,81.6,414,NYY,Graphs
2026,Yuli Gurriel,home_run,2019,99.4,28,91.7,414,KC,Graphs
2027,Kevin Pillar,home_run,2019,104.6,24,85.4,414,COL,Graphs
2028,Brian Dozier,home_run,2019,99.6,29,90.1,414,NYM,Graphs
2029,Sam Hilliard,home_run,2019,104.5,24,84.4,414,LAD,Graphs
2030,Wil Myers,home_run,2019,105,33,85.4,414,TOR,Graphs
2031,Nolan Arenado,home_run,2019,102.3,24,90,414,NYY,Graphs
2032,Jay Bruce,home_run,2019,106.3,22,90.9,414,BOS,Graphs
2033,Lourdes Gurriel Jr.,home_run,2019,103.7,27,82.4,414,ARI,Graphs
2034,Kole Calhoun,home_run,2019,103.4,31,86.6,414,SEA,Graphs
2035,Brett Gardner,home_run,2019,100.9,28,93,414,LAA,Graphs
2036,Kyle Farmer,home_run,2019,102.8,28,80.6,414,PIT,Graphs
2037,Ender Inciarte,home_run,2019,101.2,32,78.9,414,CHC,Graphs
2038,Marwin Gonzalez,home_run,2019,105,26,83.7,414,CLE,Graphs
2039,Ronny Rodriguez,home_run,2019,105.6,27,87.7,414,MIN,Graphs
2040,Edwin Encarnacion,home_run,2019,109.4,21,84.5,414,BOS,Graphs
2041,Asdrubal Cabrera,home_run,2019,104.1,34,89.8,414,ATL,Graphs
2042,Randal Grichuk,home_run,2019,104.5,28,95.6,414,TEX,Graphs
2043,Eloy Jimenez,home_run,2019,103.2,28,76.9,414,MIN,Graphs
2044,Tyler Flowers,home_run,2019,102.7,26,86,414,WSH,Graphs
2045,Wilson Ramos,home_run,2019,106.6,32,93.1,414,ARI,Graphs
2046,Luke Voit,home_run,2019,108,24,92.1,414,SF,Graphs
2047,Eric Thames,home_run,2019,106.4,33,90.1,414,ARI,Graphs
2048,Nick Ahmed,home_run,2019,103,29,94.8,414,WSH,Graphs
2049,Eddie Rosario,home_run,2019,106.8,26,90,414,OAK,Graphs
2050,Robinson Chirinos,home_run,2019,105.7,27,91.7,414,SEA,Graphs
2051,Paul DeJong,home_run,2019,105.6,30,90,414,SF,Graphs
2052,Victor Caratini,home_run,2019,109.3,19,95.4,414,PIT,Graphs
2053,Mark Canha,home_run,2019,102.8,31,88,414,SF,Graphs
2054,Eric Thames,home_run,2019,104.1,29,85.8,414,CHC,Graphs
2055,Chris Taylor,home_run,2019,105,26,94.5,414,COL,Graphs
2056,Starling Marte,home_run,2019,100.9,31,92.1,414,OAK,Graphs
2057,Christian Yelich,home_run,2019,105.4,22,90.9,414,HOU,Graphs
2058,Renato Nunez,home_run,2019,109.1,28,93.3,414,NYY,Graphs
2059,Adalberto Mondesi,home_run,2019,108.3,26,85.5,414,SEA,Graphs
2060,Xander Bogaerts,home_run,2019,103.6,28,78.3,414,NYY,Graphs
2061,Jose Martinez,home_run,2019,104.8,23,93.2,414,CIN,Graphs
2062,Renato Nunez,home_run,2019,110.6,22,81.3,414,BOS,Graphs
2063,Jay Bruce,home_run,2019,101,29,88.3,414,OAK,Graphs
2064,Garrett Cooper,home_run,2019,103.7,33,76.8,414,SF,Graphs
2065,Alex Verdugo,home_run,2019,104.3,23,91,414,COL,Graphs
2066,Eloy Jimenez,home_run,2019,112.5,19,94.6,414,HOU,Graphs
2067,Ji-Man Choi,home_run,2019,106.6,25,94.9,414,SD,Graphs
2068,Ramon Laureano,home_run,2019,105,27,96,414,TEX,Graphs
2069,Marcell Ozuna,home_run,2019,104.7,27,88.8,414,LAA,Graphs
2070,Yordan Alvarez,home_run,2019,108.3,19,94.5,414,TEX,Graphs
2071,Joe Panik,home_run,2019,101.9,27,90.7,414,TOR,Graphs
2072,Randal Grichuk,home_run,2019,100.7,27,82.4,414,TB,Graphs
2073,Kevin Kiermaier,home_run,2019,104.7,28,93.1,414,MIN,Graphs
2074,Rowdy Tellez,home_run,2019,99.4,28,88.7,414,DET,Graphs
2075,Xander Bogaerts,home_run,2019,103.1,29,81.2,414,BAL,Graphs
2076,Marcus Semien,home_run,2019,100.8,30,92.2,414,TEX,Graphs
2077,Michael Conforto,home_run,2019,105.5,22,92.6,414,PHI,Graphs
2078,Tyler O'Neill,home_run,2019,105.3,28,91.6,414,PIT,Graphs
2079,Travis Shaw,home_run,2019,109.5,29,96.6,414,STL,Graphs
2080,Shohei Ohtani,home_run,2019,110.6,19,88.8,414,TB,Graphs
2081,Fernando Tatis Jr.,home_run,2019,106.4,20,87.1,414,SF,Graphs
2082,Cody Bellinger,home_run,2019,108.1,28,96,414,TB,Graphs
2083,Mitch Garver,home_run,2019,105.9,24,96.5,414,MIA,Graphs
2084,Daniel Vogelbach,home_run,2019,105.9,21,85.1,414,LAA,Graphs
2085,Juan Soto,home_run,2019,110.5,34,91.5,414,SD,Graphs
2086,Hunter Renfroe,home_run,2019,109.9,41,94.7,414,NYM,Graphs
2087,Tommy La Stella,home_run,2019,101.8,30,89.8,414,MIL,Graphs
2088,Gleyber Torres,home_run,2019,100.6,27,83.4,414,CWS,Graphs
2089,Luis Rengifo,home_run,2019,103.7,25,97.4,414,CIN,Graphs
2090,Scott Kingery,home_run,2019,97.8,31,96.1,414,LAD,Graphs
2091,Robinson Chirinos,home_run,2019,104,25,90.2,414,OAK,Graphs
2092,Eric Sogard,home_run,2019,102.4,28,91.7,414,BAL,Graphs
2093,Francisco Lindor,home_run,2019,104.8,30,93.2,414,KC,Graphs
2094,Trevor Story,home_run,2019,100.5,34,86.7,414,SF,Graphs
2095,Yasiel Puig,home_run,2019,103.1,23,89.3,414,STL,Graphs
2096,Addison Russell,home_run,2019,104.4,21,95,414,CIN,Graphs
2097,Randal Grichuk,home_run,2019,103.9,24,85.3,414,BAL,Graphs
2098,Matt Olson,home_run,2019,105.7,31,82.9,413,LAA,Graphs
2099,Brandon Nimmo,home_run,2019,105.6,21,92.6,413,WSH,Graphs
2100,David Freese,home_run,2019,103.3,33,86,413,ARI,Graphs
2101,Yonder Alonso,home_run,2019,102.1,23,83.4,413,CIN,Graphs
2102,Aaron Judge,home_run,2019,109.7,37,96.5,413,COL,Graphs
2103,Justin Smoak,home_run,2019,105.8,31,95,413,OAK,Graphs
2104,Ronald Acuna Jr.,home_run,2019,110,46,93.9,413,CHC,Graphs
2105,Will Smith,home_run,2019,103.8,35,95.3,413,SD,Graphs
2106,Albert Pujols,home_run,2019,106.3,25,81.8,413,TB,Graphs
2107,Kevin Kiermaier,home_run,2019,106.6,22,81.8,413,NYY,Graphs
2108,Whit Merrifield,home_run,2019,104.3,33,82,413,TB,Graphs
2109,Todd Frazier,home_run,2019,106.9,25,96.4,413,CIN,Graphs
2110,Matt Carpenter,home_run,2019,102,32,96.8,413,CIN,Graphs
2111,Jorge Polanco,home_run,2019,99.5,29,96.3,413,CWS,Graphs
2112,DJ LeMahieu,home_run,2019,103.5,30,86.5,413,TB,Graphs
2113,Austin Riley,home_run,2019,107.1,36,88.8,413,NYM,Graphs
2114,Josh Bell,home_run,2019,104.8,35,95.8,413,COL,Graphs
2115,Nelson Cruz,home_run,2019,109.1,26,95.5,413,KC,Graphs
2116,Miguel Sano,home_run,2019,109.4,34,94.1,413,CWS,Graphs
2117,Nolan Arenado,home_run,2019,100.4,32,92.8,413,BAL,Graphs
2118,Jonathan Schoop,home_run,2019,101.9,31,87.4,413,CWS,Graphs
2119,Danny Jansen,home_run,2019,104.8,33,89.1,413,CWS,Graphs
2120,Tucker Barnhart,home_run,2019,105.1,34,88.6,413,MIL,Graphs
2121,Danny Santana,home_run,2019,107,31,96,413,CLE,Graphs
2122,Vladimir Guerrero Jr.,home_run,2019,104,23,80.5,413,LAD,Graphs
2123,Ramon Laureano,home_run,2019,103.4,29,95.2,413,MIN,Graphs
2124,Adam Frazier,home_run,2019,100.9,26,90.6,413,LAD,Graphs
2125,Zack Greinke,home_run,2019,102.8,24,87.7,413,SD,Graphs
2126,Charlie Blackmon,home_run,2019,100.2,30,84.3,413,ARI,Graphs
2127,Yordan Alvarez,home_run,2019,107.3,23,83.9,413,BAL,Graphs
2128,Mike Zunino,home_run,2019,100.6,31,86.3,413,TOR,Graphs
2129,Nolan Arenado,home_run,2019,103,23,91.2,413,LAD,Graphs
2130,Kevin Cron,home_run,2019,103.5,30,93,413,COL,Graphs
2131,Trea Turner,home_run,2019,103.1,26,91.5,413,ATL,Graphs
2132,Christian Vazquez,home_run,2019,101.7,24,93.9,413,NYY,Graphs
2133,Cody Bellinger,home_run,2019,103.1,23,90,413,COL,Graphs
2134,Dustin Garneau,home_run,2019,106,26,88.6,413,CHC,Graphs
2135,Dansby Swanson,home_run,2019,103.9,26,89.7,413,CLE,Graphs
2136,Bryce Harper,home_run,2019,113,40,95,413,CHC,Graphs
2137,Austin Wynns,home_run,2019,102.4,26,95.4,413,TOR,Graphs
2138,Charlie Blackmon,home_run,2019,103.1,25,74.5,413,LAD,Graphs
2139,Kyle Garlick,home_run,2019,100,29,89.6,413,SF,Graphs
2140,Manny Machado,home_run,2019,110.7,18,81.1,413,ATL,Graphs
2141,Bryce Harper,home_run,2019,105.2,28,90.4,413,CHC,Graphs
2142,Marcus Semien,home_run,2019,101.4,29,92.3,413,CHC,Graphs
2143,Avisail Garcia,home_run,2019,113.2,21,92.1,413,BOS,Graphs
2144,Jacob Stallings,home_run,2019,106.1,30,88.7,413,SF,Graphs
2145,Whit Merrifield,home_run,2019,101.9,36,92.9,413,NYY,Graphs
2146,Cody Bellinger,home_run,2019,110.6,21,92.8,413,MIL,Graphs
2147,Franmil Reyes,home_run,2019,108.1,28,88.5,413,CWS,Graphs
2148,Brian Goodwin,home_run,2019,102.8,26,89.3,413,CWS,Graphs
